#assembly_accession,organism_name
GCA_002287175.1,Methanobacterium bryantii
GCA_001563995.1,Nanohaloarchaea archaeon PL-Br10_U2g16
GCA_001564035.1,Nanohaloarchaea archaeon PL-Br10_U2g27
GCA_001563955.1,Natrialbaceae archaeon PL-Br10_E2g26
GCA_001564135.1,Halobacteriaceae archaeon Tc-Br11_E2g27
GCA_001564085.1,Haloferacaceae archaeon Tc-Br11_E2g18
GCA_001563875.1,Nanohaloarchaea archaeon B1-Br10_U2g1
GCA_001563905.1,Nanohaloarchaea archaeon B1-Br10_U2g19
GCA_001563915.1,Nanohaloarchaea archaeon B1-Br10_U2g21
GCA_001564145.1,Nanohaloarchaea archaeon B1-Br10_U2g29
GCA_001563805.1,Natrialbaceae archaeon B1-Br10_E2g2
GCA_001563885.1,Natrialbaceae archaeon B1-Br10_E2g27
GCA_001564255.1,Natrialbaceae archaeon Tc-Br11_E2g1
GCA_001564275.1,Natrialbaceae archaeon Tc-Br11_E2g14
GCA_001564285.1,Natrialbaceae archaeon Tc-Br11_E2g28
GCA_001564115.1,Natrialbaceae archaeon Tc-Br11_E2g8
GCA_001563795.1,Haloferacaceae archaeon B1-Br10_E2g22
GCA_001412355.1,Methanoculleus sp. SDB
GCA_001412335.1,Methanolinea sp. SDB
GCA_001412415.1,Methanosaeta sp. SDB
GCA_001761425.1,Nanohaloarchaea archaeon SG9
GCA_937934155.1,uncultured Nitrososphaerales archaeon
GCA_001542905.1,Halorubrum aethiopicum
GCA_001485575.1,Haloarcula sp. CBA1127
GCA_001485555.1,Haloarcula sp. CBA1128
GCA_001485535.1,Halobacterium sp. CBA1132
GCA_001280455.1,Halorubrum tropicale
GCA_001481295.1,Candidatus Methanomethylophilus sp. 1R26
GCA_900880625.1,Halorhabdus rudnickae
GCA_001515185.1,Hadesarchaea archaeon DG-33
GCA_001515195.1,Hadesarchaea archaeon DG-33-1
GCA_001541925.1,Nitrosopumilus sp. Nsub
GCA_001515215.1,Hadesarchaea archaeon YNP_N21
GCA_001515205.2,Candidatus Hadarchaeum yellowstonense
GCA_001593875.1,Candidatus Bathyarchaeota archaeon B23
GCA_001593865.1,Candidatus Bathyarchaeota archaeon B24
GCA_001593855.1,Candidatus Hecatellales archaeon B24
GCA_001593925.1,Candidatus Bathyarchaeota archaeon B26-1
GCA_001593935.1,Candidatus Bathyarchaeota archaeon B26-2
GCA_001593845.1,Candidatus Bathyarchaeota archaeon B63
GCA_001577155.1,Candidatus Bathyarchaeota archaeon TCS64
GCA_003862495.1,Halocatena pleomorpha
GCA_029633965.1,Methanogenium sp. S4BF
GCA_018687785.1,Methanomicrobiaceae archaeon CYW5
GCA_003268005.1,Methanosphaera sp. BMS
GCA_001577555.1,Methanohalophilus sp. T328-1
GCA_001577565.1,Methanolobus sp. T82-4
GCA_001768965.1,archaeon RBG_16_50_20
GCA_001775955.1,Candidatus Bathyarchaeota archaeon RBG_13_38_9
GCA_001774235.1,Candidatus Bathyarchaeota archaeon RBG_13_46_16b
GCA_001774245.1,Candidatus Bathyarchaeota archaeon RBG_13_52_12
GCA_001775965.1,Candidatus Bathyarchaeota archaeon RBG_13_60_20
GCA_001775995.1,Candidatus Bathyarchaeota archaeon RBG_16_48_13
GCA_001776015.1,Candidatus Bathyarchaeota archaeon RBG_16_57_9
GCA_001800665.1,Euryarchaeota archaeon RBG_13_31_8
GCA_001800675.1,Euryarchaeota archaeon RBG_13_57_23
GCA_001800715.1,Euryarchaeota archaeon RBG_13_61_15
GCA_001800735.1,Euryarchaeota archaeon RBG_16_62_10
GCA_001800745.1,Euryarchaeota archaeon RBG_16_67_27
GCA_001800755.1,Euryarchaeota archaeon RBG_16_68_12
GCA_001800795.1,Euryarchaeota archaeon RBG_16_68_13
GCA_001800815.1,Euryarchaeota archaeon RBG_19FT_COMBO_56_21
GCA_001800825.1,Euryarchaeota archaeon RBG_19FT_COMBO_69_17
GCA_900696045.1,Candidatus Nitrosocosmicus franklandus
GCA_001786585.1,Candidatus Micrarchaeota archaeon RBG_16_36_9
GCA_001784635.1,Candidatus Micrarchaeota archaeon RBG_16_49_10
GCA_001787285.1,Candidatus Pacearchaeota archaeon RBG_13_33_26
GCA_001786395.1,Candidatus Pacearchaeota archaeon RBG_13_36_9
GCA_001786425.1,Candidatus Pacearchaeota archaeon RBG_16_35_8
GCA_001786415.1,Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9
GCA_001830115.1,Thaumarchaeota archaeon RBG_16_49_8
GCA_001791825.1,Candidatus Woesearchaeota archaeon RBG_13_36_6
GCA_001873985.1,Candidatus Aenigmarchaeota archaeon CG1_02_38_14
GCA_009992655.1,Candidatus Altarchaeum hamiconexum
GCA_001873845.1,Candidatus Altarchaeum sp. CG2_30_32_3053
GCA_001595795.1,Theionarchaea archaeon DG-70
GCA_001595815.1,Theionarchaea archaeon DG-70-1
GCA_001595945.1,Thermoplasmatales archaeon SM1-50
GCA_001595805.1,Thermoplasmatales archaeon SG8-52-1
GCA_001595865.1,Thermoplasmatales archaeon SG8-52-2
GCA_001595915.1,Thermoplasmatales archaeon SG8-52-3
GCA_001595875.1,Thermoplasmatales archaeon SG8-52-4
GCA_001595785.1,Euryarchaeota archaeon SM23-78
GCA_001595885.1,Candidatus Proteinoplasmatales archaeon SG8-5
GCA_001920715.1,archaeon 13_1_20CM_2_51_12
GCA_001920655.1,archaeon 13_1_20CM_2_54_9
GCA_001919675.1,archaeon 13_1_20CM_52_20
GCA_001919285.1,archaeon 13_1_40CM_2_52_13
GCA_001919275.1,archaeon 13_1_40CM_2_52_4
GCA_001918315.1,archaeon 13_1_40CM_4_53_4
GCA_001915075.1,archaeon 13_2_20CM_2_52_21
GCA_001915065.1,archaeon 13_2_20CM_2_53_6
GCA_001917865.1,Candidatus Nitrososphaera sp. 13_1_40CM_48_12
GCA_001919175.1,Crenarchaeota archaeon 13_1_40CM_2_52_14
GCA_001920635.1,Crenarchaeota archaeon 13_1_20CM_2_51_8
GCA_001920575.1,Crenarchaeota archaeon 13_1_20CM_2_53_14
GCA_001918765.1,Crenarchaeota archaeon 13_1_40CM_3_52_10
GCA_001918745.1,Crenarchaeota archaeon 13_1_40CM_3_52_17
GCA_001918735.1,Crenarchaeota archaeon 13_1_40CM_3_52_4
GCA_001918715.1,Crenarchaeota archaeon 13_1_40CM_3_53_5
GCA_001920565.1,Euryarchaeota archaeon 13_1_20CM_2_64_92
GCA_001919915.1,Euryarchaeota archaeon 13_1_20CM_4_64_14
GCA_001871475.1,Candidatus Micrarchaeota archaeon CG1_02_47_40
GCA_001871535.1,Candidatus Micrarchaeota archaeon CG1_02_49_24
GCA_001871495.1,Candidatus Micrarchaeota archaeon CG1_02_51_15
GCA_001871595.1,Candidatus Micrarchaeota archaeon CG1_02_55_22
GCA_001871605.1,Candidatus Micrarchaeota archaeon CG1_02_55_41
GCA_001871655.1,Candidatus Micrarchaeota archaeon CG1_02_60_51
GCA_001872125.1,Candidatus Pacearchaeota archaeon CG1_02_30_18
GCA_001872145.1,Candidatus Pacearchaeota archaeon CG1_02_31_27
GCA_001872795.1,Candidatus Pacearchaeota archaeon CG1_02_32_132
GCA_001872185.1,Candidatus Pacearchaeota archaeon CG1_02_32_21
GCA_001872325.1,Candidatus Pacearchaeota archaeon CG1_02_35_32
GCA_001872315.1,Candidatus Pacearchaeota archaeon CG1_02_39_14
GCA_001920445.1,Thaumarchaeota archaeon 13_1_20CM_2_38_5
GCA_001920405.1,Thaumarchaeota archaeon 13_1_20CM_2_39_11
GCA_001920395.1,Thaumarchaeota archaeon 13_1_20CM_2_39_20
GCA_001918995.1,Thaumarchaeota archaeon 13_1_40CM_2_39_13_1
GCA_001918975.1,Thaumarchaeota archaeon 13_1_40CM_2_39_13_2
GCA_001919295.1,Thaumarchaeota archaeon 13_1_40CM_2_39_4
GCA_001918945.1,Thaumarchaeota archaeon 13_1_40CM_2_39_7
GCA_001918475.1,Thaumarchaeota archaeon 13_1_40CM_3_38_6
GCA_001918455.1,Thaumarchaeota archaeon 13_1_40CM_3_50_5
GCA_001917505.1,Thaumarchaeota archaeon 13_1_40CM_38_12
GCA_001917995.1,Thaumarchaeota archaeon 13_1_40CM_4_38_7
GCA_001917965.1,Thaumarchaeota archaeon 13_1_40CM_4_48_7
GCA_001872885.1,archaeon CG2_30_31_98
GCA_001872765.1,Candidatus Woesearchaeota archaeon CG1_02_33_12
GCA_001872825.1,Candidatus Woesearchaeota archaeon CG1_02_47_18
GCA_001871415.1,Candidatus Woesearchaeota archaeon CG1_02_57_44
GCA_001626095.1,Nitrosopelagicus sp. REDSEA-S08_B1
GCA_001627105.1,Nitrosopelagicus sp. REDSEA-S19_B12N3
GCA_001627075.1,Nitrosopelagicus sp. REDSEA-S25_B3
GCA_001627055.1,Nitrosopelagicus sp. REDSEA-S27_B13N2
GCA_001627235.1,Nitrosopelagicus sp. REDSEA-S31_B2
GCA_001627165.1,Nitrosopelagicus sp. REDSEA-S32_B2
GCA_001627095.1,Nitrosopelagicus sp. REDSEA-S37_B6
GCA_001627015.1,Nitrosopelagicus sp. REDSEA-S43_B1
GCA_001628435.1,Marine group II euryarchaeote REDSEA-S03_B6
GCA_001628455.1,Marine group II euryarchaeote REDSEA-S10_B2
GCA_001628485.1,Marine group II euryarchaeote REDSEA-S11_B3N4
GCA_001628475.1,Marine group II euryarchaeote REDSEA-S19_B7N8
GCA_001629165.1,Marine group II euryarchaeote REDSEA-S25_B4N5
GCA_001629155.1,Marine group II euryarchaeote REDSEA-S29_B8N9
GCA_001629205.1,Marine group II euryarchaeote REDSEA-S30_B12
GCA_001629185.2,Marine group II euryarchaeote REDSEA-S37_B2N9
GCA_001629295.1,Marine group II euryarchaeote REDSEA-S40_B11N13
GCA_001629245.1,Marine group II euryarchaeote REDSEA-S41_B6
GCA_001629255.1,Marine group II euryarchaeote REDSEA-S42_B7
GCA_001629235.1,Marine group II euryarchaeote REDSEA-S43_B8
GCA_002067065.1,Methanobacterium sp. PtaB.Bin024
GCA_002067325.1,Methanobacterium sp. PtaU1.Bin097
GCA_002067565.1,Methanobacterium sp. PtaU1.Bin242
GCA_002067315.1,Methanocella sp. PtaU1.Bin125
GCA_002067265.1,Methanomethylovorans sp. PtaU1.Bin073
GCA_002067275.1,Methanomethylovorans sp. PtaU1.Bin093
GCA_002067035.1,Methanoregula sp. PtaB.Bin085
GCA_002067645.1,Methanoregula sp. PtaU1.Bin006
GCA_002067895.1,Methanoregula sp. PtaU1.Bin051
GCA_002067725.1,Methanosaeta sp. PtaB.Bin005
GCA_002067755.1,Methanosaeta sp. PtaB.Bin018
GCA_002067795.1,Methanosaeta sp. PtaB.Bin039
GCA_002067905.1,Methanosaeta sp. PtaU1.Bin016
GCA_002067935.1,Methanosaeta sp. PtaU1.Bin028
GCA_002067365.1,Methanosaeta sp. PtaU1.Bin060
GCA_002067705.1,Methanosaeta sp. PtaU1.Bin112
GCA_002067495.1,Methanosaeta sp. PtaB.Bin087
GCA_002067955.1,Methanosaeta sp. PtaU1.Bin055
GCA_002067115.1,Methanoregulaceae archaeon PtaB.Bin009
GCA_002067095.1,Methanoregulaceae archaeon PtaB.Bin056
GCA_002067485.1,Methanoregulaceae archaeon PtaB.Bin108
GCA_002067155.1,Methanoregulaceae archaeon PtaB.Bin152
GCA_002067335.1,Methanoregulaceae archaeon PtaU1.Bin059
GCA_002067665.1,Methanoregulaceae archaeon PtaU1.Bin066
GCA_002067685.1,Methanoregulaceae archaeon PtaU1.Bin222
GCA_002067045.1,Methanomassiliicoccales archaeon PtaB.Bin134
GCA_002067005.1,Methanomassiliicoccales archaeon PtaB.Bin215
GCA_002067635.1,Methanomassiliicoccales archaeon PtaU1.Bin030
GCA_002067865.1,Methanomassiliicoccales archaeon PtaU1.Bin124
GCA_009762275.1,Haloplanus rallus
GCA_006954425.1,Methanomassiliicoccales archaeon Mx-03
GCA_006954465.1,Methanomassiliicoccales archaeon Mx-06
GCA_001870125.1,Candidatus Nitrosocosmicus hydrocola
GCA_001940705.1,Candidatus Thorarchaeota archaeon AB_25
GCA_001766815.1,Candidatus Syntrophoarchaeum caldarius
GCA_011042965.1,Candidatus Syntrophoarchaeum butanivorans
GCA_001940755.1,Candidatus Heimdallarchaeota archaeon AB_125
GCA_001940725.1,Candidatus Heimdallarchaeota archaeon LC_2
GCA_001940645.1,Candidatus Heimdallarchaeota archaeon LC_3
GCA_001940665.2,Candidatus Odinarchaeum yellowstonii
GCA_002787055.1,Candidatus Nitrosotenuis aquarius
GCA_020177165.1,Saliphagus infecundisoli
GCA_001940655.1,Candidatus Lokiarchaeota archaeon CR_4
GCA_001723845.1,Candidatus Altiarchaeales archaeon WOR_SM1_SCG
GCA_001723855.1,Candidatus Altiarchaeales archaeon WOR_SM1_86-2
GCA_001723835.1,Candidatus Altiarchaeales archaeon WOR_SM1_79
GCA_003344645.1,Nanoarchaeota archaeon NZ13-N
GCA_002069705.1,Candidatus Diapherotrites archaeon ADurb.Bin253
GCA_002071395.1,Euryarchaeota archaeon ADurb.Bin009
GCA_002071305.1,Euryarchaeota archaeon ADurb.Bin023
GCA_002070315.1,Euryarchaeota archaeon ADurb.Bin165
GCA_002070175.1,Euryarchaeota archaeon ADurb.Bin190
GCA_002069575.1,Euryarchaeota archaeon ADurb.Bin294
GCA_002068435.1,Euryarchaeota archaeon ADurb.BinA087
GCA_003721175.2,Halarchaeum sp. CBA1220
GCA_008729015.1,Haloarcula sp. CBA1129
GCA_008729005.1,Haloarcula sp. CBA1130
GCA_008728975.1,Haloarcula sp. CBA1131
GCA_002025255.2,Halolamina sp. CBA1230
GCA_003721435.2,Halorubrum sp. CBA1229
GCA_005435225.1,Halorubrum sp. ASP121
GCA_002135005.1,Halorubrum sp. SD612
GCA_005435115.1,Halorubrum sp. ARQ200
GCA_002135045.1,Halorubrum sp. SD683
GCA_001729375.1,Methanosarcina sp. A14
GCA_001729385.1,Methanobrevibacter sp. A27
GCA_001729285.1,Methanobacterium sp. A39
GCA_001729455.1,Methanobrevibacter sp. A54
GCA_001729395.1,Methanosphaera sp. A6
GCA_001683555.1,Methanohalophilus sp. DAL1
GCA_002068885.1,archaeon ADurb.Bin336
GCA_001717005.1,Candidatus Methanomethylicus mesodigestus
GCA_001717025.1,Candidatus Methanomethylicus oleisabuli
GCA_001717015.1,Candidatus Methanosuratincola petrocarbonis
GCA_003344655.1,Candidatus Korarchaeota archaeon NZ13-K
GCA_001861355.1,Natrialba sp. SSL1
GCA_015521685.1,Aeropyrum sp.
GCA_003978865.1,Archaeoglobus sp.
GCA_023074835.1,Halomarina salina
GCA_001886955.1,Halodesulfurarchaeum formicicum
GCA_013340765.1,Conexivisphaera calida
GCA_002243045.1,Methanolobus psychrotolerans
GCA_001742785.1,Candidatus Altiarchaeales archaeon IMC4
GCA_001714685.2,Methanosarcina sp. Ant1
GCA_001726015.1,Methanohalophilus sp. 2-GBenrich
GCA_001875345.1,Marine Group III euryarchaeote CG-Epi1
GCA_001875465.1,Marine Group III euryarchaeote CG-Epi2
GCA_001875355.1,Marine Group III euryarchaeote CG-Epi3
GCA_001875365.1,Marine Group III euryarchaeote CG-Epi4
GCA_001875455.1,Marine Group III euryarchaeote CG-Epi5
GCA_001875375.1,Marine Group III euryarchaeote CG-Epi6
GCA_001875425.1,Marine Group III euryarchaeote CG-Bathy1
GCA_001875445.1,Marine Group III euryarchaeote CG-Bathy2
GCA_001719125.1,Sulfolobus sp. A20
GCA_937906985.1,uncultured Candidatus Nitrosopelagicus sp.
GCA_001723155.1,Haladaptatus sp. W1
GCA_003584625.1,Methanothermobacter sp. MT-2
GCA_029977265.1,Candidatus Nitrosomarinus catalina
GCA_001914405.1,Candidatus Methanohalarchaeum thermophilum
GCA_900177045.1,Candidatus Nitrosotalea okcheonensis
GCA_900167955.1,Candidatus Nitrosotalea bavarica
GCA_934190985.1,uncultured Candidatus Methanomethylophilus sp.
GCA_002813675.1,Methanobacterium sp. MZ-A1
GCA_024498175.1,Haloplanus salinarum
GCA_001889985.1,Candidatus Micrarchaeum sp. ARMAN-1
GCA_002496325.1,Candidatus Methanoperedens sp. UBA453
GCA_002505765.1,Methanobacterium sp. UBA176
GCA_002502855.1,Methanobacterium sp. UBA279
GCA_002502445.1,Methanobacterium sp. UBA283
GCA_002496555.1,Methanobacterium sp. UBA290
GCA_002494495.1,Methanobacterium sp. UBA294
GCA_002497395.1,Methanobacterium sp. UBA295
GCA_002509705.1,Methanobacterium sp. UBA297
GCA_002504585.1,Methanobacterium sp. UBA299
GCA_002498485.1,Methanobacterium sp. UBA302
GCA_002497105.1,Methanobacterium sp. UBA305
GCA_002502635.1,Methanobacterium sp. UBA310
GCA_002495445.1,Methanobacterium sp. UBA311
GCA_002503585.1,Methanobacterium sp. UBA316
GCA_002503185.1,Methanobacterium sp. UBA322
GCA_002502845.1,Methanobacterium sp. UBA324
GCA_002498225.1,Methanobacterium sp. UBA327
GCA_002509065.1,Methanobacterium sp. UBA330
GCA_002503565.1,Methanobacterium sp. UBA336
GCA_002505725.1,Methanobacterium sp. UBA339
GCA_002505895.1,Methanobacterium sp. UBA341
GCA_002504965.1,Methanobacterium sp. UBA350
GCA_002505925.1,Methanobacterium sp. UBA351
GCA_002496805.1,Methanobacterium sp. UBA353
GCA_002498055.1,Methanobacterium sp. UBA355
GCA_002499035.1,Methanobacterium sp. UBA357
GCA_002509045.1,Methanobacterium sp. UBA368
GCA_002507025.1,Methanobacterium sp. UBA373
GCA_002495625.1,Methanobacterium sp. UBA375
GCA_002499145.1,Methanobacterium sp. UBA379
GCA_002503005.1,Methanobacterium sp. UBA380
GCA_002498905.1,Methanobacterium sp. UBA384
GCA_002505535.1,Methanobacterium sp. UBA385
GCA_002509005.1,Methanobacterium sp. UBA388
GCA_002504765.1,Methanobacterium sp. UBA390
GCA_002504505.1,Methanobacterium sp. UBA391
GCA_002506795.1,Methanobacterium sp. UBA397
GCA_002495365.1,Methanobacterium sp. UBA405
GCA_002498385.1,Methanobacterium sp. UBA410
GCA_002503125.1,Methanobacterium sp. UBA418
GCA_002495805.1,Methanobacterium sp. UBA419
GCA_002497365.1,Methanobacterium sp. UBA42
GCA_002504485.1,Methanobacterium sp. UBA426
GCA_002497655.1,Methanobacterium sp. UBA428
GCA_002494885.1,Methanobacterium sp. UBA44
GCA_002507095.1,Methanobacterium sp. UBA455
GCA_002503345.1,Methanobacterium sp. UBA479
GCA_002496545.1,Methanobacterium sp. UBA74
GCA_002509665.1,Methanobacterium sp. UBA8
GCA_002505605.1,Methanobrevibacter sp. UBA187
GCA_905234905.1,Methanobrevibacter sp. UBA188
GCA_002508985.1,Methanobrevibacter sp. UBA189
GCA_002508965.1,Methanobrevibacter sp. UBA190
GCA_905233225.1,Methanobrevibacter sp. UBA212
GCA_002509655.1,Methanobrevibacter sp. UBA313
GCA_002509645.1,Methanobrevibacter sp. UBA318
GCA_002508925.1,Methanobrevibacter sp. UBA325
GCA_002496295.1,Methanobrevibacter sp. UBA337
GCA_002508935.1,Methanobrevibacter sp. UBA352
GCA_002508905.1,Methanobrevibacter sp. UBA365
GCA_002508885.1,Methanobrevibacter sp. UBA395
GCA_002509625.1,Methanobrevibacter sp. UBA401
GCA_002508855.1,Methanobrevibacter sp. UBA403
GCA_002495685.1,Methanobrevibacter sp. UBA412
GCA_002508845.1,Methanobrevibacter sp. UBA417
GCA_002508825.1,Methanobrevibacter sp. UBA46
GCA_002496065.1,Methanobrevibacter sp. UBA586
GCA_002509605.1,Methanobrevibacter sp. UBA594
GCA_002498705.1,Methanocorpusculum sp. UBA362
GCA_002498375.1,Methanocorpusculum sp. UBA424
GCA_002497725.1,Methanocorpusculum sp. UBA592
GCA_002498065.1,Methanoculleus sp. UBA208
GCA_002499755.1,Methanoculleus sp. UBA291
GCA_002508805.1,Methanoculleus sp. UBA300
GCA_002501655.1,Methanoculleus sp. UBA303
GCA_002498025.1,Methanoculleus sp. UBA307
GCA_002508775.1,Methanoculleus sp. UBA312
GCA_002509575.1,Methanoculleus sp. UBA320
GCA_002499165.1,Methanoculleus sp. UBA326
GCA_002508765.1,Methanoculleus sp. UBA331
GCA_002508745.1,Methanoculleus sp. UBA334
GCA_002508725.1,Methanoculleus sp. UBA340
GCA_002508705.1,Methanoculleus sp. UBA374
GCA_002509565.1,Methanoculleus sp. UBA377
GCA_002508675.1,Methanoculleus sp. UBA389
GCA_002496755.1,Methanoculleus sp. UBA406
GCA_002502935.1,Methanoculleus sp. UBA413
GCA_002508665.1,Methanoculleus sp. UBA416
GCA_002506585.1,Methanoculleus sp. UBA430
GCA_002509545.1,Methanoculleus sp. UBA45
GCA_002499455.1,Methanoculleus sp. UBA77
GCA_002498315.1,Methanofollis sp. UBA420
GCA_002497785.1,Methanolinea sp. UBA144
GCA_002496855.1,Methanolinea sp. UBA145
GCA_002509505.1,Methanolinea sp. UBA155
GCA_002499825.1,Methanolinea sp. UBA245
GCA_002506105.1,Methanolinea sp. UBA275
GCA_002499905.1,Methanolinea sp. UBA277
GCA_002501965.1,Methanolinea sp. UBA286
GCA_002498825.1,Methanolinea sp. UBA437
GCA_002502975.1,Methanolinea sp. UBA451
GCA_002509495.1,Methanolinea sp. UBA473
GCA_002509485.1,Methanolinea sp. UBA477
GCA_002508635.1,Methanolobus sp. UBA118
GCA_002507205.1,Methanolobus sp. UBA32
GCA_002501695.1,Methanolobus sp. UBA474
GCA_002494705.1,Methanomassiliicoccus sp. UBA238
GCA_002495585.1,Methanomassiliicoccus sp. UBA292
GCA_002503645.1,Methanomassiliicoccus sp. UBA315
GCA_002502005.1,Methanomassiliicoccus sp. UBA321
GCA_002503495.1,Methanomassiliicoccus sp. UBA335
GCA_002504525.1,Methanomassiliicoccus sp. UBA345
GCA_002508585.1,Methanomassiliicoccus sp. UBA360
GCA_002508555.1,Methanomassiliicoccus sp. UBA364
GCA_002496345.1,Methanomassiliicoccus sp. UBA382
GCA_002498285.1,Methanomassiliicoccus sp. UBA386
GCA_002497995.1,Methanomassiliicoccus sp. UBA393
GCA_002505225.1,Methanomassiliicoccus sp. UBA429
GCA_002508545.1,Methanomassiliicoccus sp. UBA6
GCA_002499025.1,Methanoregula sp. UBA143
GCA_002502245.1,Methanoregula sp. UBA154
GCA_002495775.1,Methanoregula sp. UBA244
GCA_002495055.1,Methanoregula sp. UBA247
GCA_002506145.1,Methanoregula sp. UBA274
GCA_002508495.1,Methanoregula sp. UBA276
GCA_002497485.1,Methanoregula sp. UBA278
GCA_002498295.1,Methanoregula sp. UBA434
GCA_002497445.1,Methanoregula sp. UBA450
GCA_002506785.1,Methanoregula sp. UBA452
GCA_002509345.1,Methanoregula sp. UBA469
GCA_002495065.1,Methanoregula sp. UBA471
GCA_002502735.1,Methanoregula sp. UBA64
GCA_002506335.1,Methanosaeta sp. UBA114
GCA_002501765.1,Methanosaeta sp. UBA204
GCA_002503445.1,Methanosaeta sp. UBA243
GCA_002507265.1,Methanosaeta sp. UBA332
GCA_002496465.1,Methanosaeta sp. UBA356
GCA_002507035.1,Methanosaeta sp. UBA372
GCA_002496085.1,Methanosaeta sp. UBA458
GCA_002498745.1,Methanosaeta sp. UBA533
GCA_002502475.1,Methanosaeta sp. UBA70
GCA_002505805.1,Methanosaeta sp. UBA80
GCA_002507545.1,Archaeoglobus sp. UBA230
GCA_002507315.1,Archaeoglobus sp. UBA231
GCA_002494625.1,Archaeoglobus sp. UBA234
GCA_002494665.1,Archaeoglobus sp. UBA236
GCA_002506515.1,Caldivirga sp. UBA161
GCA_002507275.1,Geoglobus sp. UBA232
GCA_002494725.1,Geoglobus sp. UBA235
GCA_002509145.1,Metallosphaera sp. UBA165
GCA_002497045.1,Methanosarcina sp. UBA135
GCA_002496565.1,Methanosarcina sp. UBA289
GCA_002499445.1,Methanosarcina sp. UBA293
GCA_002504605.1,Methanosarcina sp. UBA301
GCA_002508505.1,Methanosarcina sp. UBA304
GCA_002502805.1,Methanosarcina sp. UBA323
GCA_002505825.1,Methanosarcina sp. UBA338
GCA_002509335.1,Methanosarcina sp. UBA342
GCA_002501645.1,Methanosarcina sp. UBA361
GCA_002494545.1,Methanosarcina sp. UBA363
GCA_002506915.1,Methanosarcina sp. UBA369
GCA_002495565.1,Methanosarcina sp. UBA376
GCA_002506455.1,Methanosarcina sp. UBA383
GCA_002508475.1,Methanosarcina sp. UBA392
GCA_002506845.1,Methanosarcina sp. UBA398
GCA_002509325.1,Methanosarcina sp. UBA402
GCA_002495725.1,Methanosarcina sp. UBA411
GCA_002506095.1,Methanosarcina sp. UBA423
GCA_002494845.1,Methanosarcina sp. UBA43
GCA_002496495.1,Methanosarcina sp. UBA47
GCA_002505485.1,Methanosarcina sp. UBA5
GCA_002503455.1,Methanosarcina sp. UBA591
GCA_002508465.1,Methanosarcina sp. UBA7
GCA_002508395.1,Nitrosopumilus sp. UBA241
GCA_002506665.1,Nitrosopumilus sp. UBA526
GCA_002494985.1,Nitrosopumilus sp. UBA527
GCA_002494895.1,Nitrososphaera sp. UBA210
GCA_002495575.1,Nitrososphaera sp. UBA216
GCA_002501845.1,Nitrososphaera sp. UBA217
GCA_002495135.1,Nitrososphaera sp. UBA239
GCA_002508435.1,Nitrososphaera sp. UBA240
GCA_002495845.1,Sulfolobus sp. UBA167
GCA_002508315.1,Thermocladium sp. UBA166
GCA_002497345.1,Thermoproteus sp. UBA157
GCA_002496475.1,Vulcanisaeta sp. UBA163
GCA_002503545.1,Candidatus Methanomethylophilus sp. UBA78
GCA_002507085.1,archaeon UBA168
GCA_002506595.1,Acidilobaceae archaeon UBA158
GCA_002496425.1,Acidilobaceae archaeon UBA162
GCA_002496045.1,Desulfurococcaceae archaeon UBA150
GCA_002495025.1,Desulfurococcaceae archaeon UBA285
GCA_002505185.1,Ferroplasmaceae archaeon UBA567
GCA_002494785.1,Methanobacteriaceae archaeon UBA117
GCA_002509125.1,Methanobacteriaceae archaeon UBA237
GCA_002509095.1,Methanobacteriaceae archaeon UBA254
GCA_002509745.1,Methanobacteriaceae archaeon UBA349
GCA_002509725.1,Methanobacteriaceae archaeon UBA541
GCA_002504725.1,Methanobacteriaceae archaeon UBA587
GCA_002509085.1,Methanobacteriaceae archaeon UBA588
GCA_002495885.1,Methanocellaceae archaeon UBA148
GCA_002494795.1,Methanococcaceae archaeon UBA115
GCA_002506085.1,Methanocorpusculaceae archaeon UBA425
GCA_002496395.1,Methanocorpusculaceae archaeon UBA456
GCA_002506175.1,Methanomassiliicoccaceae archaeon UBA113
GCA_002506985.1,Methanomassiliicoccaceae archaeon UBA248
GCA_002498545.1,Methanomassiliicoccaceae archaeon UBA271
GCA_002502465.1,Methanomassiliicoccaceae archaeon UBA296
GCA_002505735.1,Methanomassiliicoccaceae archaeon UBA298
GCA_002504645.1,Methanomassiliicoccaceae archaeon UBA306
GCA_002509465.1,Methanomassiliicoccaceae archaeon UBA308
GCA_002497155.1,Methanomassiliicoccaceae archaeon UBA309
GCA_002506325.1,Methanomassiliicoccaceae archaeon UBA314
GCA_002498425.1,Methanomassiliicoccaceae archaeon UBA317
GCA_002509415.1,Methanomassiliicoccaceae archaeon UBA319
GCA_002506905.1,Methanomassiliicoccaceae archaeon UBA328
GCA_002506865.1,Methanomassiliicoccaceae archaeon UBA329
GCA_002506565.1,Methanomassiliicoccaceae archaeon UBA333
GCA_002498765.1,Methanomassiliicoccaceae archaeon UBA343
GCA_002508625.1,Methanomassiliicoccaceae archaeon UBA344
GCA_002497195.1,Methanomassiliicoccaceae archaeon UBA354
GCA_002502765.1,Methanomassiliicoccaceae archaeon UBA358
GCA_002509425.1,Methanomassiliicoccaceae archaeon UBA359
GCA_002502165.1,Methanomassiliicoccaceae archaeon UBA366
GCA_002506255.1,Methanomassiliicoccaceae archaeon UBA367
